Brand Name,Price_of_the_Component
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹12,499"
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹12,499"
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹13,999"
"realme 9 (Sunburst Gold, 128 GB)","₹17,999"
"vivo T1 5G (Starlight Black, 128 GB)","₹16,990"
"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990"
"OPPO K10 (Black Carbon, 128 GB)","₹14,990"
"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹13,999"
"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹15,999"
"MOTOROLA G60 (Moonless, 128 GB)","₹14,999"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999"
"MOTOROLA G60 (Soft Silver, 128 GB)","₹14,999"
"OPPO K10 (Blue Flame, 128 GB)","₹14,990"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999"
"realme 9 (Stargaze White, 128 GB)","₹17,999"
"realme 9i (Prism Black, 128 GB)","₹15,999"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999"
"vivo T1 44W (Ice Dawn, 128 GB)","₹15,999"
"REDMI Note 10 Pro (Dark Night, 128 GB)","₹15,999"
"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999"
"SAMSUNG Galaxy M32 (Black, 128 GB)","₹14,251"
"REDMI 10 (Midnight Black, 128 GB)","₹12,499"
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹16,499"
